vtaxid,prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,pred_label
858571,0.0975,0.8672,0.0155,0.0198,faecal-oral
858573,0.0975,0.8672,0.0155,0.0198,faecal-oral
862167,0.0712,0.8950,0.0151,0.0187,faecal-oral
862168,0.0712,0.8950,0.0151,0.0187,faecal-oral
862169,0.0712,0.8950,0.0151,0.0187,faecal-oral
862170,0.0712,0.8950,0.0151,0.0187,faecal-oral
862171,0.0712,0.8950,0.0151,0.0187,faecal-oral
862172,0.0712,0.8950,0.0151,0.0187,faecal-oral
862173,0.0712,0.8950,0.0151,0.0187,faecal-oral
862174,0.0712,0.8950,0.0151,0.0187,faecal-oral
862175,0.0712,0.8950,0.0151,0.0187,faecal-oral
862176,0.0712,0.8950,0.0151,0.0187,faecal-oral
862177,0.0712,0.8950,0.0151,0.0187,faecal-oral
862178,0.0712,0.8950,0.0151,0.0187,faecal-oral
862179,0.0712,0.8950,0.0151,0.0187,faecal-oral
862180,0.0712,0.8950,0.0151,0.0187,faecal-oral
862181,0.0712,0.8950,0.0151,0.0187,faecal-oral
862182,0.0712,0.8950,0.0151,0.0187,faecal-oral
862183,0.0712,0.8950,0.0151,0.0187,faecal-oral
864560,0.0975,0.8672,0.0155,0.0198,faecal-oral
864623,0.0712,0.8950,0.0151,0.0187,faecal-oral
864624,0.0712,0.8950,0.0151,0.0187,faecal-oral
870710,0.0975,0.8672,0.0155,0.0198,faecal-oral
870711,0.0975,0.8672,0.0155,0.0198,faecal-oral
870712,0.0975,0.8672,0.0155,0.0198,faecal-oral
871260,0.2492,0.7043,0.0214,0.0252,faecal-oral
87786,0.1158,0.8526,0.0155,0.0161,faecal-oral
934413,0.0975,0.8672,0.0155,0.0198,faecal-oral
937784,0.1539,0.4983,0.3308,0.0170,respiratory
941285,0.0975,0.8672,0.0155,0.0198,faecal-oral
941292,0.0975,0.8672,0.0155,0.0198,faecal-oral
941293,0.0975,0.8672,0.0155,0.0198,faecal-oral
941305,0.0975,0.8672,0.0155,0.0198,faecal-oral
